runNum,position,circleNum,source,isRandom,time
0,0,3,1,0,1795.0
0,0,3,0,0,4798.0
0,0,3,1,0,7545.0
0,1,0,1,0,8946.0
0,0,3,0,0,11282.0
0,1,0,0,0,12199.0
0,0,3,1,0,15596.0
0,1,0,1,0,16997.0
0,2,2,1,0,18414.0
0,0,3,0,0,21167.0
0,1,0,0,0,22167.0
0,2,2,0,0,23001.0
1,0,1,1,1,25697.0
1,1,2,1,1,27098.0
1,2,3,1,1,28509.0
1,3,3,1,1,29928.0
